iter	Passed	Remaining
435	2197	529
436	2204	524
437	2211	520
438	2217	515
439	2223	510
440	2227	505
441	2233	500
442	2238	495
443	2243	490
444	2249	485
445	2252	479
446	2256	474
447	2262	469
448	2268	464
449	2273	459
450	2278	454
451	2286	450
452	2292	445
453	2299	440
454	2304	435
455	2308	430
456	2314	425
457	2320	420
458	2326	415
459	2330	410
460	2335	405
461	2342	400
462	2346	395
463	2352	390
464	2358	385
465	2364	380
466	2369	375
467	2374	370
468	2380	365
469	2384	360
470	2390	355
471	2396	350
472	2402	345
473	2407	340
474	2413	335
475	2418	330
476	2424	325
477	2431	320
478	2437	315
479	2442	310
480	2448	305
481	2454	300
482	2461	295
483	2464	290
484	2469	285
485	2475	280
486	2481	275
487	2488	270
488	2494	265
489	2500	260
490	2506	255
491	2512	250
492	2517	245
493	2521	239
494	2527	234
495	2532	229
496	2539	224
497	2544	219
498	2551	214
499	2557	209
500	2564	204
501	2569	199
502	2573	194
503	2578	189
504	2585	184
505	2590	179
506	2596	174
507	2601	169
508	2607	163
509	2613	158
510	2619	153
511	2624	148
512	2628	143
513	2633	138
514	2640	133
515	2646	128
516	2652	123
517	2658	118
518	2663	112
519	2669	107
520	2675	102
521	2681	97
522	2687	92
523	2693	87
524	2698	82
525	2704	77
526	2709	71
527	2715	66
528	2722	61
529	2729	56
530	2736	51
531	2741	46
532	2748	41
533	2754	36
534	2761	30
535	2766	25
536	2772	20
537	2778	15
538	2784	10
539	2790	5
540	2796	0
