iter	Logloss
0	0.5323675078
1	0.4126864219
2	0.3320055584
3	0.2733425738
4	0.2207519308
5	0.1841064765
6	0.1623753609
7	0.1390415292
8	0.1238724227
9	0.1140573999
10	0.1062427894
11	0.1022210404
12	0.09773188464
13	0.09321101707
14	0.08984203566
15	0.08691481389
16	0.08465839696
17	0.08303089964
18	0.08095660316
19	0.07960575571
20	0.07860491887
21	0.07795821
22	0.07684130555
23	0.07640025399
24	0.07523579732
25	0.07414872115
26	0.07343433372
27	0.07273828628
28	0.07178899459
29	0.07147459628
30	0.0709263235
31	0.07058169796
32	0.07034394402
33	0.07025332357
34	0.06974233409
35	0.06937209076
36	0.06927543236
37	0.06898618416
38	0.06865867573
39	0.068392513
40	0.06795467846
41	0.06775400079
42	0.06761135617
43	0.06753597522
44	0.06721186679
45	0.06702059845
46	0.06695025431
47	0.06655189515
48	0.06598988326
49	0.06595608086
50	0.06594434356
51	0.06558306594
52	0.06505985289
53	0.06493780728
54	0.06492014608
55	0.06460003055
56	0.06428612559
57	0.06410840741
58	0.06398083572
59	0.06396253697
60	0.06388701172
61	0.06363579286
62	0.06325428142
63	0.06298613521
64	0.06274292097
65	0.06252317828
66	0.06246144916
67	0.06244266542
68	0.06239745142
69	0.06229123847
70	0.06228659018
71	0.06225065266
72	0.06217516122
73	0.06199407831
74	0.06187163714
75	0.06182565528
76	0.06147834045
77	0.06114727455
78	0.06094361397
79	0.06067058314
80	0.06052906857
81	0.06051848802
82	0.06050736599
83	0.06040495714
84	0.06035258239
85	0.06027870319
86	0.0602385419
87	0.06018125736
88	0.05978536736
89	0.05946798464
90	0.05911464442
91	0.05891697475
92	0.05882737173
93	0.05856943644
94	0.05851823841
95	0.05849317524
96	0.05846234363
97	0.05842026119
98	0.05821058296
99	0.05774856942
100	0.05740938032
101	0.05723360998
102	0.05720890357
103	0.05685920595
104	0.05674017949
105	0.05653482486
106	0.05651602565
107	0.05643519836
108	0.0563680271
109	0.05607019318
110	0.05594106523
111	0.05588353778
112	0.05582153276
113	0.05566799859
114	0.05555552623
115	0.05530465992
116	0.05511105571
117	0.05505318253
118	0.05502379728
119	0.05469883389
120	0.05453099785
121	0.05450625067
122	0.05422852599
123	0.05414184807
124	0.05406135232
125	0.05382131547
126	0.05371788506
127	0.05357501027
128	0.0534940081
129	0.05347082397
130	0.05334686677
131	0.05332588373
132	0.05302728347
133	0.05300639735
134	0.05282254908
135	0.05280375842
136	0.05267632819
137	0.05258832325
138	0.05257731172
139	0.05246766845
140	0.05245153009
141	0.0524224055
142	0.05240772928
143	0.05210978945
144	0.0520380371
145	0.05201449527
146	0.05191991251
147	0.05185220781
148	0.05180269161
149	0.05158490288
150	0.05149034006
151	0.05136754157
152	0.05130978599
153	0.05122820999
154	0.05113324209
155	0.05111090584
156	0.05089262537
157	0.05068722218
158	0.05026264695
159	0.05025160434
160	0.04997059475
161	0.04977745937
162	0.04976429643
163	0.04968109428
164	0.04967231132
165	0.04961736604
166	0.04960463478
167	0.0495721766
168	0.04929869235
169	0.04922624105
170	0.04918516841
171	0.04912618501
172	0.0490603895
173	0.04898883422
174	0.04895424289
175	0.04892061342
176	0.04886529596
177	0.04874457801
178	0.04873304919
179	0.04858113476
180	0.04851866641
181	0.048505775
182	0.04846997678
183	0.04827010114
184	0.04825809222
185	0.04813325603
186	0.04808661963
187	0.04793310316
188	0.04777805918
189	0.04777081998
190	0.04776450934
191	0.04775368974
192	0.04770840589
193	0.04768604032
194	0.04763800596
195	0.04757837083
196	0.04756898414
197	0.04751167024
198	0.04747198915
199	0.04740846406
200	0.04734562364
201	0.0472816713
202	0.04727259061
203	0.04721697564
204	0.04718710583
205	0.04710405787
206	0.04702475835
207	0.04701215249
208	0.04696038739
209	0.04692394619
210	0.04674770229
211	0.04658867126
212	0.04649187812
213	0.0463817379
214	0.04635360684
215	0.04616802702
216	0.04612559487
217	0.04604277267
218	0.04603375709
219	0.04602549353
220	0.04593946859
